latitude,longitude,address,shopname
12.970196,77.640575,"788, Diagonally Opposite Sony Show Room, HAL 2nd Stage, 12th Main, Off 100 Feet Road, Indiranagar, B",Cafe Coffee Day
12.943775,77.585169,"261/A, 10th Main, Opposite Ashoka Pillar Circle, 2nd Block, Jayanagar, Bangalore India",Cafe Coffee Day
12.926039,77.681053,"RMZ Eco Space, Varthur Hobli, Bellandur, Bangalore India",Cafe Coffee Day
12.932549,77.63159,"80 Feet Road, 4th Block, Koramangala, Bangalore India",Cafe Coffee Day
12.932549,77.63159,"80 Feet Road, 4th Block, Koramangala, Bangalore India",Cafe Coffee Day
12.995541,77.695853,"Ground Floor, Phoenix Market City Mall, Whitefield, Bangalore India",Cafe Coffee Day
12.978678,77.644305,"737, 2nd Cross Road, Binnamangala Bhawan, 1st Stage, CMH Road, Indiranagar, Bangalore India",Cafe Coffee Day
12.990491,77.703013,"73/1, 33, Bridge Metropolis, Garudachplaya, Main Road, Whitefield, Bangalore India",Cafe Coffee Day
12.98653056,77.61945278,"119, Annaswamy Road, Opposite Ulsoor Lake, Ulsoor, Bangalore India",Cafe Coffee Day
12.96941389,77.60883333,"3rd Floor, Garuda Mall, Magrath Road, Ashok Nagar, Brigade Road, Bangalore India",Cafe Coffee Day
12.993474,77.66127,"RMZ Infinity, Old Madras Road, Bangalore India",Cafe Coffee Day
12.987319,77.59445,"2, Shah Sultan Complex, Cunningham Road, Bangalore India",Cafe Coffee Day
12.96908056,77.63596389,"26, ESI Hospital Road, HAL 2nd Stage, 100 Feet Road, Indiranagar, Bangalore India",Cafe Coffee Day
12.97146111,77.60942778,"Second Floor, Garuda Mall, Magrath Road, Brigade Road, Bangalore India",Barista Expresso Bar and Restaurant
12.934383,77.611387,"2nd Floor, Forum Mall, Hosur Road, Koramangala, Bangalore India",Barista Expresso Bar and Restaurant
12.934383,77.611387,"2nd Floor, Forum Mall, Hosur Road, Koramangala, Bangalore India",Barista Lavazza
12.876028,77.595531,"1st Floor, Royal Meenakshi Mall, Hulimavu, Bannerghatta Road, Bangalore India",Barista Lavazza Espresso Bar
12.995541,77.695853,"28B, Ground Floor, Phoenix Market City Mall, Whitefield, Bangalore India",Barista Lavazza Espresso Bar
12.959629,77.747581,"1st Floor, Forum Value Mall, Whitefield, Bangalore India",Barista Lavazza Espresso Bar
12.99151111,77.57106667,"Ground Floor, Mantri Square, Sampige Road, Malleshwaram, Bangalore India",Barista Lavazza Espresso Bar
